Team,Game ID,Win/Lose,Player_1,Player_2,Player_3,Player_4,Player_5,Role_1,Role_2,Role_3,Role_4,Role_5,Level_1,Level_2,Level_3,Level_4,Level_5,Kills_1,Kills_2,Kills_3,Kills_4,Kills_5,Deaths_1,Deaths_2,Deaths_3,Deaths_4,Deaths_5,Assists_1,Assists_2,Assists_3,Assists_4,Assists_5,KDA_1,KDA_2,KDA_3,KDA_4,KDA_5,CS_1,CS_2,CS_3,CS_4,CS_5,CS in Team's Jungle_1,CS in Team's Jungle_2,CS in Team's Jungle_3,CS in Team's Jungle_4,CS in Team's Jungle_5,CS in Enemy Jungle_1,CS in Enemy Jungle_2,CS in Enemy Jungle_3,CS in Enemy Jungle_4,CS in Enemy Jungle_5,CSM_1,CSM_2,CSM_3,CSM_4,CSM_5,Golds_1,Golds_2,Golds_3,Golds_4,Golds_5,GPM_1,GPM_2,GPM_3,GPM_4,GPM_5,GOLD%_1,GOLD%_2,GOLD%_3,GOLD%_4,GOLD%_5,Vision Score_1,Vision Score_2,Vision Score_3,Vision Score_4,Vision Score_5,Wards placed_1,Wards placed_2,Wards placed_3,Wards placed_4,Wards placed_5,Wards destroyed_1,Wards destroyed_2,Wards destroyed_3,Wards destroyed_4,Wards destroyed_5,Control Wards Purchased_1,Control Wards Purchased_2,Control Wards Purchased_3,Control Wards Purchased_4,Control Wards Purchased_5,Detector Wards Placed_1,Detector Wards Placed_2,Detector Wards Placed_3,Detector Wards Placed_4,Detector Wards Placed_5,VSPM_1,VSPM_2,VSPM_3,VSPM_4,VSPM_5,WPM_1,WPM_2,WPM_3,WPM_4,WPM_5,VWPM_1,VWPM_2,VWPM_3,VWPM_4,VWPM_5,WCPM_1,WCPM_2,WCPM_3,WCPM_4,WCPM_5,VS%_1,VS%_2,VS%_3,VS%_4,VS%_5,Total damage to Champion_1,Total damage to Champion_2,Total damage to Champion_3,Total damage to Champion_4,Total damage to Champion_5,Physical Damage_1,Physical Damage_2,Physical Damage_3,Physical Damage_4,Physical Damage_5,Magic Damage_1,Magic Damage_2,Magic Damage_3,Magic Damage_4,Magic Damage_5,True Damage_1,True Damage_2,True Damage_3,True Damage_4,True Damage_5,DPM_1,DPM_2,DPM_3,DPM_4,DPM_5,DMG%_1,DMG%_2,DMG%_3,DMG%_4,DMG%_5,K+A Per Minute_1,K+A Per Minute_2,K+A Per Minute_3,K+A Per Minute_4,K+A Per Minute_5,KP%_1,KP%_2,KP%_3,KP%_4,KP%_5,Solo kills_1,Solo kills_2,Solo kills_3,Solo kills_4,Solo kills_5,Double kills_1,Double kills_2,Double kills_3,Double kills_4,Double kills_5,Triple kills_1,Triple kills_2,Triple kills_3,Triple kills_4,Triple kills_5,Quadra kills_1,Quadra kills_2,Quadra kills_3,Quadra kills_4,Quadra kills_5,Penta kills_1,Penta kills_2,Penta kills_3,Penta kills_4,Penta kills_5,GD@15_1,GD@15_2,GD@15_3,GD@15_4,GD@15_5,CSD@15_1,CSD@15_2,CSD@15_3,CSD@15_4,CSD@15_5,XPD@15_1,XPD@15_2,XPD@15_3,XPD@15_4,XPD@15_5,LVLD@15_1,LVLD@15_2,LVLD@15_3,LVLD@15_4,LVLD@15_5,Objectives Stolen_1,Objectives Stolen_2,Objectives Stolen_3,Objectives Stolen_4,Objectives Stolen_5,Damage dealt to turrets_1,Damage dealt to turrets_2,Damage dealt to turrets_3,Damage dealt to turrets_4,Damage dealt to turrets_5,Damage dealt to buildings_1,Damage dealt to buildings_2,Damage dealt to buildings_3,Damage dealt to buildings_4,Damage dealt to buildings_5,Total heal_1,Total heal_2,Total heal_3,Total heal_4,Total heal_5,Total Heals On Teammates_1,Total Heals On Teammates_2,Total Heals On Teammates_3,Total Heals On Teammates_4,Total Heals On Teammates_5,Damage self mitigated_1,Damage self mitigated_2,Damage self mitigated_3,Damage self mitigated_4,Damage self mitigated_5,Total Damage Shielded On Teammates_1,Total Damage Shielded On Teammates_2,Total Damage Shielded On Teammates_3,Total Damage Shielded On Teammates_4,Total Damage Shielded On Teammates_5,Time ccing others_1,Time ccing others_2,Time ccing others_3,Time ccing others_4,Time ccing others_5,Total Time CC Dealt_1,Total Time CC Dealt_2,Total Time CC Dealt_3,Total Time CC Dealt_4,Total Time CC Dealt_5,Total damage taken_1,Total damage taken_2,Total damage taken_3,Total damage taken_4,Total damage taken_5,Total Time Spent Dead_1,Total Time Spent Dead_2,Total Time Spent Dead_3,Total Time Spent Dead_4,Total Time Spent Dead_5,Consumables purchased_1,Consumables purchased_2,Consumables purchased_3,Consumables purchased_4,Consumables purchased_5,Items Purchased_1,Items Purchased_2,Items Purchased_3,Items Purchased_4,Items Purchased_5,Shutdown bounty collected_1,Shutdown bounty collected_2,Shutdown bounty collected_3,Shutdown bounty collected_4,Shutdown bounty collected_5,Shutdown bounty lost_1,Shutdown bounty lost_2,Shutdown bounty lost_3,Shutdown bounty lost_4,Shutdown bounty lost_5
JD Gaming,44340,WIN,369,Kanavi,Yagao,Hope,Missing,TOP,JUNGLE,MID,ADC,SUPPORT,15,15,16,15,12,4,12,4,3,1,3,1,2,4,4,14,9,13,11,17,6,21,8.5,3.5,4.5,194,186,266,256,36,12,148,39,18,0,,,,,,6.5,6.2,8.9,8.6,1.2,11831,15710,13006,12624,7346,397,528,437,424,247,19.5%,26%,21.5%,20.9%,12.1%,41,53,49,32,65,10,9,14,17,38,11,17,13,12,9,7,8,4,7,12,7,7,4,5,12,1.38,1.78,1.65,1.08,2.18,0.34,0.3,0.47,0.57,1.28,0.24,0.27,0.13,0.24,0.4,0.37,0.57,0.44,0.4,0.3,17.1%,22.1%,20.4%,13.3%,27.1%,15882,19170,16536,11183,3855,9025,16737,177,10184,481,5675,1562,16359,765,2796,1182,871,0,234,578,534,644,556,376,130,23.8%,28.8%,24.8%,16.8%,5.8%,0.6,0.71,0.57,0.47,0.6,75%,87.5%,70.8%,58.3%,75%,1,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,2311,-418,-1579,542,9,2,-11,-9,7,1149,907,-1062,-521,611,1,1,-1,0,0,0,0,0,0,0,2288,3863,5399,6279,271,2288,3863,5399,6279,271,4509,14169,1392,2342,401,0,0,0,884,0,36524,19548,9782,10227,10855,0,0,0,0,2484,26,10,11,9,29,1487,146,257,137,147,23782,24590,14228,9298,11955,78,35,63,87,108,8,7,6,10,15,28,23,24,26,28,,,,,,,,,,
Edward Gaming,44341,LOSS,Flandre,Jiejie,Scout,Viper,meiko,TOP,JUNGLE,MID,ADC,SUPPORT,13,12,13,11,9,0,0,2,3,1,4,4,1,4,5,4,5,1,2,3,1,1.3,3,1.3,0.8,131,128,188,166,7,1,114,0,9,0,,,,,,5.7,5.6,8.2,7.3,0.3,6394,7068,9071,8926,5292,280,309,397,391,232,17.4%,19.2%,24.7%,24.3%,14.4%,9,26,17,30,52,4,5,9,11,23,2,8,2,7,6,1,4,2,5,8,1,4,2,4,7,0.39,1.14,0.74,1.31,2.28,0.18,0.22,0.39,0.48,1.01,0.04,0.18,0.09,0.22,0.35,0.09,0.35,0.09,0.31,0.26,6.7%,19.4%,12.7%,22.4%,38.8%,9702,7439,15207,10358,4500,4371,4478,681,7851,727,5331,887,13863,996,1963,0,2074,663,1511,1810,425,326,666,453,197,20.6%,15.8%,32.2%,21.9%,9.5%,0.18,0.22,0.13,0.22,0.18,66.7%,83.3%,50%,83.3%,66.7%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1722,11,-115,-829,-277,-35,-4,-6,-15,2,152,-167,-757,-852,-334,0,-1,-1,-1,-1,0,0,0,0,0,0,0,133,385,270,0,0,133,385,270,476,4294,0,1562,225,0,0,0,450,260,17468,18758,5116,7211,7588,0,0,0,0,2367,16,13,10,13,8,667,277,188,213,132,16779,19986,9885,14072,11445,107,125,42,126,137,2,4,5,8,10,14,18,26,23,22,,,,,,,,,,
Royal Never Give Up,44342,WIN,Breathe,Wei,xiaohu,GALA,Ming,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,15,14,12,3,4,0,6,1,1,1,1,1,1,4,7,11,3,10,7,11,11,9,11,229,189,244,267,34,24,145,4,29,2,,,,,,7.6,6.3,8.1,8.9,1.1,11691,12331,11410,13880,7517,388,409,379,461,249,20.6%,21.7%,20.1%,24.4%,13.2%,30,96,24,21,89,15,43,6,7,52,6,25,7,6,10,6,14,4,3,15,6,14,4,1,15,1,3.19,0.8,0.7,2.95,0.5,1.43,0.2,0.23,1.73,0.2,0.46,0.13,0.1,0.5,0.2,0.83,0.23,0.2,0.33,11.5%,36.9%,9.2%,8.1%,34.2%,9084,12445,15676,17376,3959,6050,9919,944,15286,858,2968,1169,14158,1093,2401,66,1357,574,997,700,301,413,520,577,131,15.5%,21.3%,26.8%,29.7%,6.8%,0.23,0.37,0.37,0.3,0.37,50%,78.6%,78.6%,64.3%,78.6%,1,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-195,995,-603,2140,-94,-24,-12,-23,54,-5,-16,97,-903,415,60,0,0,-1,1,0,0,0,0,0,0,2830,3200,2472,8998,318,2830,3200,2472,8998,318,3045,6887,1991,1487,2149,0,0,196,0,0,19760,9841,6472,8920,15393,0,0,0,0,0,11,18,28,8,22,543,475,180,150,111,17724,14414,10678,5325,13185,35,27,0,30,37,8,14,6,4,17,27,34,23,21,30,,,,,,,,,,
Edward Gaming,44346,WIN,Flandre,Jiejie,Scout,Viper,meiko,TOP,JUNGLE,MID,ADC,SUPPORT,17,13,16,15,12,4,1,6,3,1,1,0,1,0,2,6,10,5,4,8,10,Perfect KDA,11,Perfect KDA,4.5,270,147,265,296,34,36,117,28,18,0,,,,,,9.5,5.2,9.3,10.4,1.2,13337,9876,12889,13088,7565,468,346,452,459,265,23.5%,17.4%,22.7%,23.1%,13.3%,26,53,26,52,83,7,9,12,14,40,2,15,4,14,9,3,7,3,4,13,3,7,3,4,11,0.91,1.86,0.91,1.82,2.91,0.25,0.32,0.42,0.49,1.4,0.11,0.25,0.11,0.14,0.46,0.07,0.53,0.14,0.49,0.32,10.8%,22.1%,10.8%,21.7%,34.6%,23593,6804,19122,13742,4400,23385,5781,415,11883,244,0,754,18707,675,3858,208,269,0,1184,298,827,239,671,482,154,34.9%,10.1%,28.3%,20.3%,6.5%,0.35,0.39,0.39,0.25,0.32,66.7%,73.3%,73.3%,46.7%,60%,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,-208,1751,44,180,2,-28,14,5,-1,221,-944,711,20,451,0,-1,0,0,0,0,0,0,0,0,2324,940,6704,9613,326,2324,940,6704,9613,326,11263,6479,2291,2610,67,0,0,0,482,0,23974,25018,9642,4293,5859,0,0,0,0,1027,27,26,15,8,29,228,919,224,97,121,20289,15690,16689,8294,8667,44,0,27,0,31,4,7,5,6,17,15,27,27,26,34,,,,,,,,,,
Top Esports,44347,WIN,Wayward,Tian,Knight,JackeyLove,Mark,TOP,JUNGLE,MID,ADC,SUPPORT,15,12,15,14,13,3,0,8,9,3,1,3,0,2,0,4,17,11,14,20,7,5.7,Perfect KDA,11.5,Perfect KDA,237,95,249,242,3,35,81,12,16,0,,,,,,9.5,3.8,10,9.7,0.1,10977,7850,12914,14948,8104,442,316,520,602,326,20%,14.3%,23.6%,27.3%,14.8%,16,40,17,39,47,6,12,4,11,25,4,13,6,13,2,1,12,1,3,9,1,12,1,3,9,0.64,1.61,0.68,1.57,1.89,0.24,0.48,0.16,0.44,1.01,0.04,0.48,0.04,0.12,0.36,0.16,0.52,0.24,0.52,0.08,10.1%,25.2%,10.7%,24.5%,29.6%,9404,6528,14687,29696,11444,7618,4911,1455,27368,399,1730,1079,8945,0,11045,56,538,4287,2328,0,378,263,591,1195,461,13.1%,9.1%,20.5%,41.4%,15.9%,0.28,0.68,0.76,0.93,0.93,30.4%,73.9%,82.6%,100%,100%,,,,,,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112,68,1487,2969,913,-6,-22,9,50,-22,-871,-643,999,1550,780,-1,-1,0,1,1,0,0,0,0,0,3244,848,3193,13719,818,3244,848,3193,13719,818,2804,4456,4843,1599,8465,0,0,0,0,7574,9270,20822,7273,6101,1040,0,0,0,0,2347,10,20,10,0,26,422,486,82,12,51,11895,19044,12273,13330,2479,32,55,0,66,0,3,12,2,4,11,17,25,16,17,22,,,,,,,,,,
JD Gaming,44348,WIN,369,Kanavi,Yagao,Hope,Missing,TOP,JUNGLE,MID,ADC,SUPPORT,17,17,18,17,14,0,5,3,9,1,4,3,1,0,3,7,8,12,7,14,1.8,4.3,15,Perfect KDA,5,255,299,329,367,38,9,200,27,45,0,,,,,,6.9,8.1,8.9,10,1,11358,16087,15757,18582,8905,308,436,427,504,241,16.1%,22.8%,22.3%,26.3%,12.6%,37,140,52,42,100,21,48,20,17,76,8,49,14,10,11,9,3,5,6,22,8,3,5,6,21,1,3.8,1.41,1.14,2.71,0.57,1.3,0.54,0.46,2.06,0.24,0.08,0.14,0.16,0.6,0.22,1.33,0.38,0.27,0.3,10%,37.7%,14%,11.3%,27%,13220,17699,19734,24195,4481,3715,15552,654,13836,299,9505,1468,18469,8655,3406,0,679,611,1704,776,358,480,535,656,121,16.7%,22.3%,24.9%,30.5%,5.6%,0.19,0.35,0.41,0.43,0.41,38.9%,72.2%,83.3%,88.9%,83.3%,,1,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-244,606,-23,-312,25,3,8,-9,-1,15,440,863,128,-445,686,0,1,0,0,1,0,0,0,0,0,91,4962,7859,8976,80,91,4962,7859,8976,80,1280,17818,1033,1694,1918,0,0,0,0,442,42910,24176,9980,11321,24808,0,0,0,0,319,31,25,13,1,21,1035,569,266,96,103,27231,29142,12865,13842,13853,186,82,35,0,76,10,4,7,9,24,29,27,27,32,37,,,,,,,,,,
Edward Gaming,44351,WIN,Flandre,Jiejie,Scout,Viper,meiko,TOP,JUNGLE,MID,ADC,SUPPORT,17,15,18,16,14,1,2,3,10,3,1,3,3,1,1,6,10,7,8,15,7,4,3.3,18,18,258,159,312,351,4,16,124,75,29,0,,,,,,7,4.3,8.5,9.6,0.1,13231,11147,15484,18501,10278,361,304,422,504,280,19.3%,16.2%,22.6%,27%,15%,26,74,31,66,83,8,23,12,20,56,7,23,2,15,1,5,13,5,7,15,4,11,5,7,15,0.71,2.02,0.85,1.8,2.26,0.22,0.63,0.33,0.55,1.53,0.14,0.35,0.14,0.19,0.41,0.19,0.63,0.05,0.41,0.03,9.3%,26.4%,11.1%,23.6%,29.6%,12570,8407,19761,27428,17842,1050,7237,38,25115,619,11520,1116,19698,872,16650,0,54,25,1441,573,343,229,539,748,486,14.6%,9.8%,23%,31.9%,20.7%,0.19,0.33,0.27,0.49,0.49,36.8%,63.2%,52.6%,94.7%,94.7%,,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,216,-654,1507,514,3,-10,-25,4,-8,-62,-86,-939,-306,519,0,0,-1,0,0,0,0,0,0,0,5072,2792,2298,13634,1624,5072,2792,2298,13634,1624,13763,11244,1376,3526,6618,0,0,0,0,6153,31672,36041,13813,5338,1076,0,547,0,0,3291,46,11,14,1,18,849,398,366,57,64,25013,27501,16218,14300,2755,38,82,68,30,30,8,13,8,9,17,29,31,28,34,30,,,,,,,,,,
Royal Never Give Up,44353,WIN,Breathe,Wei,xiaohu,GALA,Ming,TOP,JUNGLE,MID,ADC,SUPPORT,17,16,16,15,12,5,5,5,4,2,0,0,2,0,4,2,13,10,13,10,Perfect KDA,Perfect KDA,7.5,Perfect KDA,3,279,156,251,285,46,18,134,13,41,0,,,,,,9.5,5.3,8.5,9.7,1.6,13595,12357,13257,13723,8201,462,420,451,467,279,22.2%,20.2%,21.7%,22.4%,13.4%,38,46,30,26,87,13,12,4,7,42,7,10,12,11,13,5,15,3,4,16,5,10,2,2,14,1.29,1.56,1.02,0.88,2.96,0.44,0.41,0.14,0.24,1.43,0.17,0.51,0.1,0.14,0.54,0.24,0.34,0.41,0.37,0.44,16.7%,20.3%,13.2%,11.5%,38.3%,11986,15091,13183,28700,6981,6841,12023,533,25251,3749,1947,2300,12608,1545,156,3198,768,42,1904,3076,408,513,448,976,237,15.8%,19.9%,17.4%,37.8%,9.2%,0.24,0.61,0.51,0.58,0.41,33.3%,85.7%,71.4%,81%,57.1%,,,,,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,998,-1087,243,493,7,4,-1,9,-3,378,1035,-277,126,-461,1,1,0,0,-1,0,0,0,0,0,11603,1884,5086,4762,896,11603,1884,5086,4762,896,9384,16084,1071,1369,1435,1245,0,0,0,0,15253,21428,5865,13462,20109,0,0,0,0,0,4,21,33,27,18,91,212,263,187,90,18741,27207,13300,4999,17191,0,0,43,0,122,6,10,5,5,19,22,30,25,20,34,,,,,,,,,,
Top Esports,44354,LOSS,Wayward,Tian,Knight,JackeyLove,Mark,TOP,JUNGLE,MID,ADC,SUPPORT,15,12,16,14,10,0,1,1,0,0,3,2,1,5,4,0,0,0,2,2,0,0.5,1,0.4,0.5,261,134,304,298,34,21,111,4,12,0,,,,,,8.7,4.5,10.1,9.9,1.1,9749,7792,13582,11083,5901,324,259,451,368,196,20.3%,16.2%,28.2%,23%,12.3%,17,48,36,31,73,11,12,13,10,51,4,19,10,11,9,3,13,5,4,16,2,12,3,3,15,0.57,1.6,1.2,1.03,2.43,0.37,0.4,0.43,0.33,1.7,0.1,0.43,0.17,0.13,0.53,0.13,0.63,0.33,0.37,0.3,8.3%,23.4%,17.6%,15.1%,35.6%,4219,3434,16915,9927,1933,2988,2887,425,9927,485,1177,117,15744,0,1116,54,430,746,0,332,140,114,562,330,64,11.6%,9.4%,46.4%,27.3%,5.3%,0,0.03,0.03,0.07,0.07,0%,50%,50%,100%,100%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1313,-1315,15,-681,-647,-35,-18,28,-5,2,-794,-1558,930,-693,-379,-1,-2,1,-1,-1,0,0,0,0,0,0,146,5326,792,0,0,146,5326,792,0,408,4460,202,3644,437,0,0,0,0,0,15758,14665,4701,11082,12715,0,0,0,0,0,3,9,7,6,17,570,178,205,96,168,14671,14292,7958,18318,11158,65,41,0,113,70,5,13,7,7,18,35,27,23,23,28,,,,,,,,,,
JD Gaming,44355,WIN,369,Kanavi,Yagao,Hope,Missing,TOP,JUNGLE,MID,ADC,SUPPORT,16,15,16,17,14,4,1,3,5,2,4,2,6,1,2,4,8,6,8,10,2,4.5,1.5,13,6,271,197,274,387,14,28,145,42,20,0,,,,,,7.8,5.7,7.9,11.2,0.4,14083,11478,12502,17356,9084,406,331,361,501,262,21.8%,17.8%,19.4%,26.9%,14.1%,42,54,48,40,84,13,10,20,19,57,11,28,10,22,5,7,18,8,8,17,7,9,8,6,16,1.21,1.56,1.38,1.15,2.42,0.38,0.29,0.58,0.55,1.64,0.2,0.52,0.23,0.23,0.49,0.32,0.81,0.29,0.63,0.14,15.7%,20.1%,17.9%,14.9%,31.3%,11584,9047,20998,30217,20466,9681,7891,616,27361,475,1903,598,19984,0,19991,0,558,398,2856,0,334,261,606,872,590,12.5%,9.8%,22.7%,32.7%,22.2%,0.23,0.26,0.26,0.38,0.35,53.3%,60%,60%,86.7%,80%,,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-314,-856,-832,1726,1383,23,-4,-44,21,-9,566,-288,-1882,19,1323,0,-1,-1,0,1,0,0,0,0,0,6906,2751,471,13988,2436,6906,2751,471,13988,2436,10193,12185,658,1063,9625,0,181,0,0,8735,33476,19445,7140,8889,2890,0,503,0,0,3060,15,10,30,2,35,43,288,694,40,79,26779,25170,16177,14860,5551,132,89,197,43,81,9,9,10,14,19,28,27,31,33,32,,,,,,,,,,
