Team,Game ID,Win/Lose,Player_1,Player_2,Player_3,Player_4,Player_5,Role_1,Role_2,Role_3,Role_4,Role_5,Level_1,Level_2,Level_3,Level_4,Level_5,Kills_1,Kills_2,Kills_3,Kills_4,Kills_5,Deaths_1,Deaths_2,Deaths_3,Deaths_4,Deaths_5,Assists_1,Assists_2,Assists_3,Assists_4,Assists_5,KDA_1,KDA_2,KDA_3,KDA_4,KDA_5,CS_1,CS_2,CS_3,CS_4,CS_5,CS in Team's Jungle_1,CS in Team's Jungle_2,CS in Team's Jungle_3,CS in Team's Jungle_4,CS in Team's Jungle_5,CS in Enemy Jungle_1,CS in Enemy Jungle_2,CS in Enemy Jungle_3,CS in Enemy Jungle_4,CS in Enemy Jungle_5,CSM_1,CSM_2,CSM_3,CSM_4,CSM_5,Golds_1,Golds_2,Golds_3,Golds_4,Golds_5,GPM_1,GPM_2,GPM_3,GPM_4,GPM_5,GOLD%_1,GOLD%_2,GOLD%_3,GOLD%_4,GOLD%_5,Vision Score_1,Vision Score_2,Vision Score_3,Vision Score_4,Vision Score_5,Wards placed_1,Wards placed_2,Wards placed_3,Wards placed_4,Wards placed_5,Wards destroyed_1,Wards destroyed_2,Wards destroyed_3,Wards destroyed_4,Wards destroyed_5,Control Wards Purchased_1,Control Wards Purchased_2,Control Wards Purchased_3,Control Wards Purchased_4,Control Wards Purchased_5,Detector Wards Placed_1,Detector Wards Placed_2,Detector Wards Placed_3,Detector Wards Placed_4,Detector Wards Placed_5,VSPM_1,VSPM_2,VSPM_3,VSPM_4,VSPM_5,WPM_1,WPM_2,WPM_3,WPM_4,WPM_5,VWPM_1,VWPM_2,VWPM_3,VWPM_4,VWPM_5,WCPM_1,WCPM_2,WCPM_3,WCPM_4,WCPM_5,VS%_1,VS%_2,VS%_3,VS%_4,VS%_5,Total damage to Champion_1,Total damage to Champion_2,Total damage to Champion_3,Total damage to Champion_4,Total damage to Champion_5,Physical Damage_1,Physical Damage_2,Physical Damage_3,Physical Damage_4,Physical Damage_5,Magic Damage_1,Magic Damage_2,Magic Damage_3,Magic Damage_4,Magic Damage_5,True Damage_1,True Damage_2,True Damage_3,True Damage_4,True Damage_5,DPM_1,DPM_2,DPM_3,DPM_4,DPM_5,DMG%_1,DMG%_2,DMG%_3,DMG%_4,DMG%_5,K+A Per Minute_1,K+A Per Minute_2,K+A Per Minute_3,K+A Per Minute_4,K+A Per Minute_5,KP%_1,KP%_2,KP%_3,KP%_4,KP%_5,Solo kills_1,Solo kills_2,Solo kills_3,Solo kills_4,Solo kills_5,Double kills_1,Double kills_2,Double kills_3,Double kills_4,Double kills_5,Triple kills_1,Triple kills_2,Triple kills_3,Triple kills_4,Triple kills_5,Quadra kills_1,Quadra kills_2,Quadra kills_3,Quadra kills_4,Quadra kills_5,Penta kills_1,Penta kills_2,Penta kills_3,Penta kills_4,Penta kills_5,GD@15_1,GD@15_2,GD@15_3,GD@15_4,GD@15_5,CSD@15_1,CSD@15_2,CSD@15_3,CSD@15_4,CSD@15_5,XPD@15_1,XPD@15_2,XPD@15_3,XPD@15_4,XPD@15_5,LVLD@15_1,LVLD@15_2,LVLD@15_3,LVLD@15_4,LVLD@15_5,Objectives Stolen_1,Objectives Stolen_2,Objectives Stolen_3,Objectives Stolen_4,Objectives Stolen_5,Damage dealt to turrets_1,Damage dealt to turrets_2,Damage dealt to turrets_3,Damage dealt to turrets_4,Damage dealt to turrets_5,Damage dealt to buildings_1,Damage dealt to buildings_2,Damage dealt to buildings_3,Damage dealt to buildings_4,Damage dealt to buildings_5,Total heal_1,Total heal_2,Total heal_3,Total heal_4,Total heal_5,Total Heals On Teammates_1,Total Heals On Teammates_2,Total Heals On Teammates_3,Total Heals On Teammates_4,Total Heals On Teammates_5,Damage self mitigated_1,Damage self mitigated_2,Damage self mitigated_3,Damage self mitigated_4,Damage self mitigated_5,Total Damage Shielded On Teammates_1,Total Damage Shielded On Teammates_2,Total Damage Shielded On Teammates_3,Total Damage Shielded On Teammates_4,Total Damage Shielded On Teammates_5,Time ccing others_1,Time ccing others_2,Time ccing others_3,Time ccing others_4,Time ccing others_5,Total Time CC Dealt_1,Total Time CC Dealt_2,Total Time CC Dealt_3,Total Time CC Dealt_4,Total Time CC Dealt_5,Total damage taken_1,Total damage taken_2,Total damage taken_3,Total damage taken_4,Total damage taken_5,Total Time Spent Dead_1,Total Time Spent Dead_2,Total Time Spent Dead_3,Total Time Spent Dead_4,Total Time Spent Dead_5,Consumables purchased_1,Consumables purchased_2,Consumables purchased_3,Consumables purchased_4,Consumables purchased_5,Items Purchased_1,Items Purchased_2,Items Purchased_3,Items Purchased_4,Items Purchased_5,Shutdown bounty collected_1,Shutdown bounty collected_2,Shutdown bounty collected_3,Shutdown bounty collected_4,Shutdown bounty collected_5,Shutdown bounty lost_1,Shutdown bounty lost_2,Shutdown bounty lost_3,Shutdown bounty lost_4,Shutdown bounty lost_5
Fnatic,44337,WIN,Wunder,Razork,Humanoid,Upset,Hylissang,TOP,JUNGLE,MID,ADC,SUPPORT,16,15,18,16,13,0,2,5,8,0,1,1,2,0,2,9,8,3,5,11,9,10,4,Perfect KDA,5.5,243,180,341,331,40,8,147,37,52,0,,,,,,7.5,5.6,10.5,10.2,1.2,11057,10558,14984,16359,7498,341,326,463,505,232,18.3%,17.5%,24.8%,27.1%,12.4%,34,51,30,29,82,17,12,12,13,41,4,15,6,7,11,5,12,2,1,10,5,10,2,1,9,1.05,1.57,0.93,0.9,2.53,0.52,0.37,0.37,0.4,1.27,0.15,0.37,0.06,0.03,0.31,0.12,0.46,0.19,0.22,0.34,15%,22.6%,13.3%,12.8%,36.3%,9422,11523,24693,22168,4613,3305,979,643,19913,1059,6117,10336,23203,1545,2540,0,208,847,710,1014,291,356,763,685,142,13%,15.9%,34.1%,30.6%,6.4%,0.28,0.31,0.25,0.4,0.34,60%,66.7%,53.3%,86.7%,73.3%,,,2,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-215,-137,756,-629,-1092,-1,13,39,10,-5,-215,104,1049,422,-1077,0,0,1,0,-2,0,0,0,0,0,3292,825,5353,12662,1028,3292,825,5353,12662,1028,2943,18127,12,375,512,0,714,0,0,143,27833,30724,10209,12971,8612,0,0,0,0,3508,19,48,10,12,13,938,905,263,206,151,16320,27949,12826,3288,7976,30,41,93,0,45,6,14,2,2,14,26,31,20,21,25,,,,,,,,,,
G2 Esports,44338,LOSS,Brokenblade,Jankos,Caps,Flakked,Targamas,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,15,15,13,2,0,0,5,0,3,4,3,3,4,2,7,5,2,6,1.3,1.8,1.7,2.3,1.5,231,147,260,323,50,0,122,4,10,0,,,,,,7.1,4.5,8,10,1.5,10649,8576,9872,14309,7000,328,264,304,441,216,21.1%,17%,19.6%,28.4%,13.9%,25,45,13,33,63,15,14,11,12,31,5,17,3,11,18,6,11,2,3,8,6,11,2,3,7,0.77,1.39,0.4,1.02,1.94,0.46,0.43,0.34,0.37,0.96,0.18,0.34,0.06,0.09,0.25,0.15,0.52,0.09,0.34,0.55,14%,25.1%,7.3%,18.4%,35.2%,12695,7999,9060,14945,6635,4011,4926,590,14323,365,8684,2055,8470,468,6270,0,1018,0,154,0,391,247,279,461,204,24.7%,15.6%,17.6%,29.1%,12.9%,0.12,0.22,0.15,0.22,0.18,57.1%,100%,71.4%,100%,85.7%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-780,-1457,-2228,197,-108,-12,-8,-26,13,-8,-672,-320,-772,-214,-21,-1,0,-1,0,0,0,0,0,0,0,760,171,615,1971,792,760,171,615,1971,792,1860,9177,7977,0,1272,0,0,4984,0,788,40819,41660,10065,7872,5150,0,0,4649,0,5133,31,23,15,15,30,1590,401,255,66,295,30317,29802,14026,10329,7734,63,74,63,51,53,7,11,4,6,11,29,28,23,24,23,,,,,,,,,,
Rogue,44343,WIN,Odoamne,Malrang,Larssen,Comp,Trymbi,TOP,JUNGLE,MID,ADC,SUPPORT,17,16,18,18,14,2,4,4,9,1,0,2,3,1,4,14,11,9,7,13,Perfect KDA,7.5,4.3,16,3.5,215,181,307,370,23,5,137,45,49,0,,,,,,5.9,5,8.5,10.2,0.6,12852,12472,14456,19150,9051,356,345,400,530,250,18.9%,18.3%,21.3%,28.2%,13.3%,44,64,37,50,83,10,13,16,15,37,10,27,4,15,16,5,12,4,3,7,4,11,4,3,6,1.22,1.77,1.02,1.38,2.3,0.28,0.36,0.44,0.41,1.02,0.14,0.33,0.11,0.08,0.19,0.28,0.75,0.11,0.41,0.44,15.8%,23%,13.3%,18%,29.9%,24771,12323,22660,28900,6680,2955,9706,725,18630,880,21150,2206,20867,7854,5502,666,411,1068,2416,298,685,341,627,799,185,26%,12.9%,23.8%,30.3%,7%,0.44,0.41,0.36,0.44,0.39,80%,75%,65%,80%,70%,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,-596,627,258,-357,5,-13,-1,-9,-17,468,-271,434,-180,63,1,0,0,0,0,0,0,0,0,0,3594,4285,2525,8357,971,3594,4285,2525,8357,971,15804,18465,1865,2510,8528,0,0,0,0,5494,39663,27100,11224,10374,5090,0,0,0,0,1936,83,16,10,5,20,1139,344,242,102,166,28951,28084,16824,18504,12867,0,78,144,43,68,6,13,6,4,11,25,34,21,24,24,,,,,,,,,,
G2 Esports,44344,WIN,Brokenblade,Jankos,Caps,Flakked,Targamas,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,15,15,12,6,2,6,5,0,0,1,1,0,0,6,13,6,9,16,Perfect KDA,15,12,Perfect KDA,Perfect KDA,227,158,223,269,34,8,132,24,4,0,,,,,,8.2,5.7,8.1,9.8,1.2,11851,9765,11595,13310,6722,430,354,421,483,244,22.3%,18.3%,21.8%,25%,12.6%,20,46,26,32,69,12,9,5,14,31,3,14,13,11,9,3,7,2,5,8,3,7,2,5,6,0.73,1.67,0.94,1.16,2.5,0.44,0.33,0.18,0.51,1.12,0.11,0.25,0.07,0.18,0.29,0.11,0.51,0.47,0.4,0.33,10.4%,23.8%,13.5%,16.6%,35.8%,18421,8782,16279,20325,3246,10842,4167,321,18956,206,2514,3969,15824,799,2600,5065,646,134,570,440,668,319,591,737,118,27.5%,13.1%,24.3%,30.3%,4.8%,0.44,0.54,0.44,0.51,0.58,63.2%,78.9%,63.2%,73.7%,84.2%,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,-26,434,950,54,10,-11,-1,-8,-2,-249,-311,326,638,5,0,0,0,0,0,0,0,0,0,0,6901,379,3006,12836,198,6901,379,3006,12836,198,16466,8513,4728,1028,3034,2320,696,0,0,539,21758,20372,11817,9078,9597,0,0,134,0,0,13,22,27,9,18,113,655,338,131,63,22667,19153,20274,7781,8801,0,30,42,0,0,5,7,3,8,11,19,21,18,23,23,,,,,,,,,,
Fnatic,44345,WIN,Wunder,Razork,Humanoid,Upset,Hylissang,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,16,15,13,2,2,7,7,1,3,1,0,1,2,8,12,7,8,17,3.3,14,Perfect KDA,15,9,204,163,266,264,9,36,126,28,19,0,,,,,,7,5.6,9.1,9,0.3,10817,9905,14090,15224,8701,370,339,482,521,298,18.4%,16.9%,24%,25.9%,14.8%,33,57,19,32,66,14,11,11,14,41,4,16,4,6,7,4,10,2,4,12,4,9,2,4,11,1.13,1.95,0.65,1.1,2.26,0.48,0.38,0.38,0.48,1.4,0.14,0.34,0.07,0.14,0.41,0.14,0.55,0.14,0.21,0.24,15.9%,27.5%,9.2%,15.5%,31.9%,12981,9766,23476,20571,4848,12908,7066,1150,12183,516,73,2372,20844,7431,4332,0,328,1482,957,0,444,334,804,704,166,18.1%,13.6%,32.8%,28.7%,6.8%,0.34,0.48,0.48,0.51,0.62,52.6%,73.7%,73.7%,78.9%,94.7%,,,1,,,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-355,123,519,1898,589,5,7,-10,6,-20,-57,303,-367,249,1011,0,1,0,0,1,0,0,0,0,0,2607,612,6668,11361,3003,2607,612,6668,11361,3003,7966,6487,1016,183,9717,0,0,0,0,7744,18253,26465,6805,8287,4211,0,0,0,0,2046,12,32,9,1,15,152,1343,200,54,142,19315,17282,10427,14527,7013,104,36,0,36,8,5,11,4,9,14,24,25,21,29,27,,,,,,,,,,
Rogue,44349,WIN,Odoamne,Malrang,Larssen,Comp,Trymbi,TOP,JUNGLE,MID,ADC,SUPPORT,18,16,18,17,15,3,2,5,4,0,2,3,0,0,1,5,11,7,5,10,4,4.3,Perfect KDA,Perfect KDA,10,289,176,366,415,27,9,136,55,38,4,,,,,,7.7,4.7,9.7,11,0.7,14064,11575,17558,17994,8772,374,307,466,478,233,20.1%,16.5%,25.1%,25.7%,12.5%,43,88,33,74,95,13,20,13,16,49,6,38,7,25,14,4,16,2,5,8,4,13,2,5,8,1.14,2.34,0.88,1.97,2.52,0.35,0.53,0.35,0.42,1.3,0.11,0.42,0.05,0.13,0.21,0.16,1.01,0.19,0.66,0.37,12.9%,26.4%,9.9%,22.2%,28.5%,14153,12275,19539,10318,5054,4370,8864,456,9153,915,9583,2318,18833,971,4007,200,1093,250,194,132,376,326,519,274,134,23.1%,20%,31.9%,16.8%,8.2%,0.21,0.35,0.32,0.24,0.27,57.1%,92.9%,85.7%,64.3%,71.4%,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-864,235,842,2013,464,-12,-31,9,47,-26,-742,-110,282,633,-29,-1,-1,1,1,0,0,0,0,0,0,2261,3912,2495,5803,2509,2261,3912,2495,5803,2509,1887,8906,3639,2550,15356,0,0,0,0,11041,49520,28640,13723,15063,5502,0,0,3771,0,1164,41,25,20,9,21,2014,753,593,584,166,24322,25114,14075,18060,10069,66,75,0,0,39,5,18,5,8,11,28,39,23,27,30,,,,,,,,,,
Fnatic,44351,LOSS,Wunder,Razork,Humanoid,Upset,Hylissang,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,18,16,12,1,0,4,4,0,3,3,2,4,7,5,4,2,1,5,2,1.3,3,1.3,0.7,251,147,371,346,17,8,123,36,37,0,,,,,,6.8,4,10.1,9.4,0.5,11754,9277,15801,15326,7050,320,253,431,418,192,19.9%,15.7%,26.7%,25.9%,11.9%,31,47,23,37,72,17,14,13,16,41,5,11,5,8,11,5,13,1,4,14,5,12,1,4,12,0.85,1.28,0.63,1.01,1.96,0.46,0.38,0.35,0.44,1.12,0.14,0.35,0.03,0.11,0.38,0.14,0.3,0.14,0.22,0.3,14.8%,22.4%,11%,17.6%,34.3%,10599,8375,28370,11401,4707,3532,6118,61,8172,316,6740,1656,26931,1306,1224,327,601,1378,1923,3167,289,228,773,311,128,16.7%,13.2%,44.7%,18%,7.4%,0.16,0.11,0.16,0.14,0.14,66.7%,44.4%,66.7%,55.6%,55.6%,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-407,-216,654,-1507,-514,-3,10,25,-4,8,62,86,939,306,-519,0,0,1,0,0,0,0,0,0,0,3167,0,5549,383,0,3167,0,5549,383,0,1964,8025,989,1479,56,0,0,0,0,0,38011,28576,10496,11792,14539,0,0,0,0,4442,22,24,10,5,10,1880,1064,280,442,163,28526,25628,18900,19457,19161,81,128,42,53,165,7,15,1,7,17,28,34,21,30,33,,,,,,,,,,
G2 Esports,44355,LOSS,Brokenblade,Jankos,Caps,Flakked,Targamas,TOP,JUNGLE,MID,ADC,SUPPORT,16,16,17,16,13,4,4,3,3,1,2,3,3,4,3,5,9,7,6,11,4.5,4.3,3.3,2.3,4,228,263,296,286,25,12,179,32,8,0,,,,,,6.6,7.6,8.5,8.3,0.7,12920,14546,14549,12673,7461,373,420,420,366,215,20.8%,23.4%,23.4%,20.4%,12%,34,104,22,23,76,18,44,8,16,50,3,32,4,2,4,10,10,6,4,9,10,10,5,4,9,0.98,3,0.63,0.66,2.19,0.52,1.27,0.23,0.46,1.44,0.29,0.29,0.17,0.12,0.26,0.09,0.92,0.12,0.06,0.12,13.1%,40.2%,8.5%,8.9%,29.3%,14984,15775,9866,14304,4709,12817,13860,0,834,635,0,554,9427,12032,3004,2167,1361,439,1438,1070,432,455,285,413,136,25.1%,26.5%,16.5%,24%,7.9%,0.26,0.38,0.29,0.26,0.35,60%,86.7%,66.7%,60%,80%,,1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,856,832,-1726,-1383,-23,4,44,-21,9,-566,288,1882,-19,-1323,0,1,1,0,-1,0,0,0,0,0,3781,523,4196,0,0,3781,523,4196,0,0,7857,8805,4100,10250,8648,0,0,0,6173,4934,31596,17776,21123,15439,30271,0,0,0,3935,0,20,26,7,28,28,209,406,443,394,102,28046,20283,25717,20395,21115,35,55,92,91,68,11,10,9,7,12,29,35,25,27,24,,,,,,,,,,
Rogue,44356,WIN,Odoamne,Malrang,Larssen,Comp,Trymbi,TOP,JUNGLE,MID,ADC,SUPPORT,17,15,17,17,13,2,3,4,9,0,1,0,0,2,3,11,8,10,5,15,13,Perfect KDA,Perfect KDA,7,5,237,145,261,371,38,10,125,25,59,0,,,,,,7.1,4.3,7.8,11,1.1,12037,10919,13569,20046,8314,358,325,404,596,247,18.6%,16.8%,20.9%,30.9%,12.8%,35,47,36,38,88,11,23,13,15,42,3,8,4,11,14,4,13,1,4,9,3,12,1,4,9,1.04,1.4,1.07,1.13,2.62,0.33,0.68,0.39,0.45,1.25,0.12,0.39,0.03,0.12,0.27,0.09,0.24,0.12,0.33,0.42,14.3%,19.3%,14.8%,15.6%,36.1%,13138,9163,20298,22176,5989,1433,7398,207,20733,1036,11705,1177,20063,1247,3901,0,588,28,196,1052,391,273,604,660,178,18.6%,12.9%,28.7%,31.3%,8.5%,0.39,0.33,0.42,0.42,0.45,72.2%,61.1%,77.8%,77.8%,83.3%,1,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,1049,-676,-599,-373,-12,-5,5,-10,-2,-298,149,174,150,-543,0,1,0,0,-1,0,0,0,0,0,3447,913,2928,14309,417,3447,913,2928,14309,417,12592,13236,1528,3070,6160,0,0,0,0,1926,52398,24270,13084,12390,21703,0,1856,0,0,4301,58,15,12,10,29,1205,487,417,511,86,28242,22798,9067,14921,15243,38,0,0,37,37,5,14,1,8,11,27,30,19,26,26,,,,,,,,,,
Fnatic,44361,LOSS,Wunder,Razork,Humanoid,Upset,Hylissang,TOP,JUNGLE,MID,ADC,SUPPORT,13,13,15,14,11,1,2,1,1,0,5,5,5,1,2,1,2,2,0,2,0.4,0.8,0.6,1,1,186,144,260,276,18,0,109,35,18,0,,,,,,6.7,5.2,9.3,9.9,0.6,8197,8713,10420,9981,5542,295,313,375,359,199,19.1%,20.3%,24.3%,23.3%,12.9%,25,36,11,22,56,13,8,7,12,29,2,10,1,5,8,4,6,0,3,5,4,6,0,2,4,0.9,1.29,0.4,0.79,2.01,0.47,0.29,0.25,0.43,1.04,0.14,0.22,0,0.11,0.18,0.07,0.36,0.04,0.18,0.29,16.7%,24%,7.3%,14.7%,37.3%,13616,9534,20357,9199,6526,1543,8432,189,7959,844,12073,519,20168,982,5682,0,583,0,258,0,489,343,732,331,235,23%,16.1%,34.4%,15.5%,11%,0.07,0.14,0.11,0.04,0.07,40%,80%,60%,20%,40%,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-792,-350,-793,-1234,-393,-19,-2,2,-1,0,-1404,187,60,-802,513,-1,0,0,-1,1,0,0,0,0,0,0,0,1321,2608,0,0,0,1321,2608,0,7741,6969,828,802,11790,0,0,0,0,8619,27569,23498,15966,8107,5135,0,0,0,0,831,63,17,19,13,37,429,403,296,287,193,29381,27201,16779,8118,9993,152,104,151,39,65,5,7,0,7,7,18,24,17,24,19,,,,,,,,,,
