Team,Game ID,Win/Lose,Player_1,Player_2,Player_3,Player_4,Player_5,Role_1,Role_2,Role_3,Role_4,Role_5,Level_1,Level_2,Level_3,Level_4,Level_5,Kills_1,Kills_2,Kills_3,Kills_4,Kills_5,Deaths_1,Deaths_2,Deaths_3,Deaths_4,Deaths_5,Assists_1,Assists_2,Assists_3,Assists_4,Assists_5,KDA_1,KDA_2,KDA_3,KDA_4,KDA_5,CS_1,CS_2,CS_3,CS_4,CS_5,CS in Team's Jungle_1,CS in Team's Jungle_2,CS in Team's Jungle_3,CS in Team's Jungle_4,CS in Team's Jungle_5,CS in Enemy Jungle_1,CS in Enemy Jungle_2,CS in Enemy Jungle_3,CS in Enemy Jungle_4,CS in Enemy Jungle_5,CSM_1,CSM_2,CSM_3,CSM_4,CSM_5,Golds_1,Golds_2,Golds_3,Golds_4,Golds_5,GPM_1,GPM_2,GPM_3,GPM_4,GPM_5,GOLD%_1,GOLD%_2,GOLD%_3,GOLD%_4,GOLD%_5,Vision Score_1,Vision Score_2,Vision Score_3,Vision Score_4,Vision Score_5,Wards placed_1,Wards placed_2,Wards placed_3,Wards placed_4,Wards placed_5,Wards destroyed_1,Wards destroyed_2,Wards destroyed_3,Wards destroyed_4,Wards destroyed_5,Control Wards Purchased_1,Control Wards Purchased_2,Control Wards Purchased_3,Control Wards Purchased_4,Control Wards Purchased_5,Detector Wards Placed_1,Detector Wards Placed_2,Detector Wards Placed_3,Detector Wards Placed_4,Detector Wards Placed_5,VSPM_1,VSPM_2,VSPM_3,VSPM_4,VSPM_5,WPM_1,WPM_2,WPM_3,WPM_4,WPM_5,VWPM_1,VWPM_2,VWPM_3,VWPM_4,VWPM_5,WCPM_1,WCPM_2,WCPM_3,WCPM_4,WCPM_5,VS%_1,VS%_2,VS%_3,VS%_4,VS%_5,Total damage to Champion_1,Total damage to Champion_2,Total damage to Champion_3,Total damage to Champion_4,Total damage to Champion_5,Physical Damage_1,Physical Damage_2,Physical Damage_3,Physical Damage_4,Physical Damage_5,Magic Damage_1,Magic Damage_2,Magic Damage_3,Magic Damage_4,Magic Damage_5,True Damage_1,True Damage_2,True Damage_3,True Damage_4,True Damage_5,DPM_1,DPM_2,DPM_3,DPM_4,DPM_5,DMG%_1,DMG%_2,DMG%_3,DMG%_4,DMG%_5,K+A Per Minute_1,K+A Per Minute_2,K+A Per Minute_3,K+A Per Minute_4,K+A Per Minute_5,KP%_1,KP%_2,KP%_3,KP%_4,KP%_5,Solo kills_1,Solo kills_2,Solo kills_3,Solo kills_4,Solo kills_5,Double kills_1,Double kills_2,Double kills_3,Double kills_4,Double kills_5,Triple kills_1,Triple kills_2,Triple kills_3,Triple kills_4,Triple kills_5,Quadra kills_1,Quadra kills_2,Quadra kills_3,Quadra kills_4,Quadra kills_5,Penta kills_1,Penta kills_2,Penta kills_3,Penta kills_4,Penta kills_5,GD@15_1,GD@15_2,GD@15_3,GD@15_4,GD@15_5,CSD@15_1,CSD@15_2,CSD@15_3,CSD@15_4,CSD@15_5,XPD@15_1,XPD@15_2,XPD@15_3,XPD@15_4,XPD@15_5,LVLD@15_1,LVLD@15_2,LVLD@15_3,LVLD@15_4,LVLD@15_5,Objectives Stolen_1,Objectives Stolen_2,Objectives Stolen_3,Objectives Stolen_4,Objectives Stolen_5,Damage dealt to turrets_1,Damage dealt to turrets_2,Damage dealt to turrets_3,Damage dealt to turrets_4,Damage dealt to turrets_5,Damage dealt to buildings_1,Damage dealt to buildings_2,Damage dealt to buildings_3,Damage dealt to buildings_4,Damage dealt to buildings_5,Total heal_1,Total heal_2,Total heal_3,Total heal_4,Total heal_5,Total Heals On Teammates_1,Total Heals On Teammates_2,Total Heals On Teammates_3,Total Heals On Teammates_4,Total Heals On Teammates_5,Damage self mitigated_1,Damage self mitigated_2,Damage self mitigated_3,Damage self mitigated_4,Damage self mitigated_5,Total Damage Shielded On Teammates_1,Total Damage Shielded On Teammates_2,Total Damage Shielded On Teammates_3,Total Damage Shielded On Teammates_4,Total Damage Shielded On Teammates_5,Time ccing others_1,Time ccing others_2,Time ccing others_3,Time ccing others_4,Time ccing others_5,Total Time CC Dealt_1,Total Time CC Dealt_2,Total Time CC Dealt_3,Total Time CC Dealt_4,Total Time CC Dealt_5,Total damage taken_1,Total damage taken_2,Total damage taken_3,Total damage taken_4,Total damage taken_5,Total Time Spent Dead_1,Total Time Spent Dead_2,Total Time Spent Dead_3,Total Time Spent Dead_4,Total Time Spent Dead_5,Consumables purchased_1,Consumables purchased_2,Consumables purchased_3,Consumables purchased_4,Consumables purchased_5,Items Purchased_1,Items Purchased_2,Items Purchased_3,Items Purchased_4,Items Purchased_5,Shutdown bounty collected_1,Shutdown bounty collected_2,Shutdown bounty collected_3,Shutdown bounty collected_4,Shutdown bounty collected_5,Shutdown bounty lost_1,Shutdown bounty lost_2,Shutdown bounty lost_3,Shutdown bounty lost_4,Shutdown bounty lost_5
DWG KIA,44338,WIN,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,18,17,18,16,13,3,3,8,3,0,2,2,0,0,3,8,10,4,10,15,5.5,6.5,Perfect KDA,Perfect KDA,5,305,255,324,270,38,24,205,33,39,0,,,,,,9.4,7.9,10,8.3,1.2,15182,14550,16733,13764,8166,468,448,516,424,252,22.2%,21.3%,24.5%,20.1%,11.9%,31,90,45,29,92,9,34,18,13,57,8,22,8,2,13,5,10,11,5,18,5,10,9,4,18,0.96,2.77,1.39,0.89,2.84,0.28,1.05,0.55,0.4,1.76,0.15,0.31,0.34,0.15,0.55,0.25,0.68,0.25,0.06,0.4,10.8%,31.4%,15.7%,10.1%,32.1%,21650,17192,20730,15487,2149,11725,14731,201,12784,567,1533,1582,19708,2179,1147,8392,879,821,524,435,667,530,639,477,66,28%,22.3%,26.8%,20.1%,2.8%,0.34,0.4,0.37,0.4,0.46,64.7%,76.5%,70.6%,76.5%,88.2%,,,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1457,2228,-197,108,12,8,26,-13,8,672,320,772,214,21,1,0,1,0,0,0,0,0,0,0,6226,3760,7883,4462,78,6226,3760,7883,4462,78,11796,17432,4272,4383,550,0,0,0,1044,427,29403,24022,9656,5125,9707,0,0,0,0,162,24,38,12,26,34,282,595,259,256,138,33217,27671,13102,9574,8580,45,65,0,0,74,7,11,14,9,21,30,33,29,24,34,,,,,,,,,,
T1,44341,WIN,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,13,12,13,13,11,4,1,7,5,1,1,4,1,0,0,7,8,7,12,17,11,2.3,14,Perfect KDA,Perfect KDA,179,135,169,227,3,0,124,12,21,0,,,,,,7.8,5.9,7.4,9.9,0.1,10298,7546,9658,11655,6396,451,330,423,510,280,22.6%,16.6%,21.2%,25.6%,14%,25,27,11,23,40,11,13,6,10,27,3,3,2,5,1,8,5,3,4,8,6,5,3,3,7,1.09,1.18,0.48,1.01,1.75,0.48,0.57,0.26,0.44,1.18,0.35,0.22,0.13,0.18,0.35,0.13,0.13,0.09,0.22,0.04,19.8%,21.4%,8.7%,18.3%,31.7%,14082,3722,12709,13650,11058,9269,3274,543,12559,375,1754,382,12166,0,10365,3059,66,0,1091,318,616,163,556,597,484,25.5%,6.7%,23%,24.7%,20%,0.48,0.39,0.61,0.74,0.79,61.1%,50%,77.8%,94.4%,100%,,,,,,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1722,-11,115,829,277,35,4,6,15,-2,-152,167,757,852,334,0,1,1,1,1,0,1,0,0,0,14327,854,961,6584,757,14327,854,961,6584,757,6420,7005,1510,1048,4349,406,0,0,122,4116,17213,15822,8870,4843,1414,0,227,0,0,1904,12,5,1,0,21,90,388,59,6,53,21628,19486,16637,9162,1520,42,115,39,0,0,9,5,4,7,10,22,18,18,22,20,,,,,,,,,,
Gen.G eSports,44342,LOSS,Doran,Peanut,Chovy,Lehends,Ruler,TOP,JUNGLE,MID,ADC,SUPPORT,16,13,16,13,11,2,0,2,1,0,4,2,2,3,3,1,5,1,3,4,0.8,2.5,1.5,1.3,1.3,276,168,321,150,65,24,154,26,1,0,,,,,,9.2,5.6,10.7,5,2.2,11005,8652,13153,7780,7386,365,287,436,258,245,22.9%,18%,27.4%,16.2%,15.4%,30,31,41,24,76,11,13,16,13,39,8,5,12,6,28,4,13,4,11,14,4,11,4,9,12,1,1.03,1.36,0.8,2.52,0.37,0.43,0.53,0.43,1.29,0.13,0.43,0.13,0.37,0.46,0.27,0.17,0.4,0.2,0.93,14.9%,15.3%,20.3%,11.9%,37.6%,10472,4546,16672,5207,3817,10472,2586,158,304,3817,0,963,16078,4710,0,0,997,436,193,0,348,151,553,173,127,25.7%,11.2%,40.9%,12.8%,9.4%,0.1,0.17,0.1,0.13,0.13,60%,100%,60%,80%,80%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,-995,603,-2140,94,24,12,23,-54,5,16,-97,903,-415,-60,0,0,1,-1,0,0,0,0,0,0,1131,0,4386,0,659,1131,0,4386,0,659,7453,5099,1157,1299,5553,0,0,0,132,2576,25007,24287,6580,16745,3247,0,0,0,0,1847,14,16,7,23,14,137,846,218,568,143,20451,19263,13293,17557,9211,97,85,63,106,81,7,13,6,12,16,24,29,26,33,30,,,,,,,,,,
DRX,44343,LOSS,kingen,Juhan,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,17,17,12,1,3,2,3,1,5,4,3,3,5,4,6,4,5,7,1,2.3,2,2.7,1.6,242,165,315,384,41,20,144,14,48,0,,,,,,6.7,4.6,8.7,10.6,1.1,11367,10729,12949,15641,7881,314,297,358,433,218,19.4%,18.3%,22.1%,26.7%,13.5%,33,48,24,41,122,13,26,10,17,81,6,9,6,13,14,11,16,10,6,16,9,15,8,6,14,0.91,1.33,0.66,1.13,3.37,0.36,0.72,0.28,0.47,2.24,0.3,0.44,0.28,0.17,0.44,0.17,0.25,0.17,0.36,0.39,12.3%,17.9%,9%,15.3%,45.5%,14661,12904,14127,21772,8975,8378,10274,258,19007,735,5330,1928,13207,1281,7126,953,702,662,1484,1114,406,357,391,602,248,20.2%,17.8%,19.5%,30.1%,12.4%,0.14,0.25,0.17,0.22,0.22,50%,90%,60%,80%,80%,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,596,-627,-258,357,-5,13,1,9,17,-468,271,-434,180,-63,-1,0,0,0,0,0,0,0,0,0,2571,135,1356,547,0,2571,135,1356,547,0,2039,13659,3001,2404,1851,0,0,0,1030,0,39927,37501,21824,16753,14041,0,950,0,0,0,25,15,0,10,37,1095,595,109,244,140,30208,30522,28724,10485,17596,174,95,86,56,116,13,16,11,9,18,32,31,31,30,35,,,,,,,,,,
T1,44345,LOSS,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,14,13,14,14,11,0,3,1,1,2,4,4,4,4,3,5,3,0,2,2,1.3,1.5,0.3,0.8,1.3,200,137,202,277,29,6,121,4,13,0,,,,,,6.8,4.7,6.9,9.5,1,10270,8844,9053,11150,6322,352,303,310,382,216,22.5%,19.4%,19.8%,24.4%,13.9%,20,20,25,41,66,13,7,11,12,52,3,4,6,10,5,3,9,7,5,18,3,6,7,4,16,0.68,0.68,0.86,1.4,2.26,0.44,0.24,0.38,0.41,1.78,0.1,0.31,0.24,0.17,0.62,0.1,0.14,0.21,0.34,0.17,11.6%,11.6%,14.5%,23.8%,38.4%,10410,7271,11608,12736,4090,7064,6066,434,11927,504,3346,626,11174,209,2646,0,579,0,600,940,356,249,397,436,140,22.6%,15.8%,25.2%,27.6%,8.9%,0.17,0.21,0.03,0.1,0.14,71.4%,85.7%,14.3%,42.9%,57.1%,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,-123,-519,-1898,-589,-5,-7,10,-6,20,57,-303,367,-249,-1011,0,-1,0,0,-1,0,0,0,0,0,8015,1397,0,2785,0,8015,1397,0,2785,0,4148,8791,698,4026,838,0,0,0,514,509,19629,14222,13847,11056,4862,0,0,0,0,1214,14,16,1,8,28,93,182,84,114,164,21857,23960,21319,13437,10813,117,84,126,97,40,3,6,9,10,20,22,23,23,27,32,,,,,,,,,,
DWG KIA,44348,LOSS,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,17,14,17,17,13,0,2,5,4,0,4,6,3,2,3,0,9,4,7,11,0,1.8,3,5.5,3.7,290,172,314,339,28,29,123,52,25,0,,,,,,7.9,4.7,8.5,9.2,0.8,12473,11042,14449,15855,8134,338,299,392,430,221,20.1%,17.8%,23.3%,25.6%,13.1%,43,63,48,48,115,12,12,19,16,96,9,30,11,21,24,8,14,8,5,22,8,11,8,5,20,1.17,1.71,1.3,1.3,3.12,0.33,0.33,0.52,0.43,2.6,0.22,0.38,0.22,0.14,0.6,0.24,0.81,0.3,0.57,0.65,13.6%,19.9%,15.1%,15.1%,36.3%,10456,20705,19921,17086,4016,9761,528,518,12487,711,695,19232,19126,4329,2597,0,945,277,270,708,283,561,540,463,109,14.5%,28.7%,27.6%,23.7%,5.6%,0,0.3,0.24,0.3,0.3,0%,100%,81.8%,100%,100%,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,-606,23,312,-25,-3,-8,9,1,-15,-440,-863,-128,445,-686,0,-1,0,0,-1,0,2,0,0,0,1616,99,1928,2805,294,1616,99,1928,2805,294,10023,9974,1077,2132,751,0,0,0,591,0,29943,25006,8054,13796,7731,0,0,0,0,4409,18,65,25,21,14,57,693,528,320,151,33212,30804,13119,9770,10958,134,166,48,32,28,9,16,12,6,24,27,36,29,27,38,,,,,,,,,,
Gen.G eSports,44350,WIN,Doran,Peanut,Chovy,Ruler,Lehends,TOP,JUNGLE,MID,ADC,SUPPORT,16,14,18,15,12,5,3,2,4,3,4,0,0,2,2,5,10,7,3,7,2.5,Perfect KDA,Perfect KDA,3.5,5,214,169,320,277,14,6,134,31,35,1,,,,,,7.3,5.7,10.9,9.4,0.5,11732,10118,13649,13157,7873,398,343,463,446,267,20.8%,17.9%,24.1%,23.3%,13.9%,22,46,38,36,100,8,10,13,14,57,4,10,11,5,10,3,9,3,5,13,3,8,3,5,13,0.75,1.56,1.29,1.22,3.39,0.27,0.34,0.44,0.47,1.93,0.1,0.31,0.1,0.17,0.44,0.14,0.34,0.37,0.17,0.34,9.1%,19%,15.7%,14.9%,41.3%,17615,8208,20997,21222,4499,11745,5630,355,16338,673,1030,1720,19898,1451,2441,4840,858,744,3433,1385,597,278,712,720,153,24.3%,11.3%,28.9%,29.3%,6.2%,0.34,0.44,0.31,0.24,0.34,58.8%,76.5%,52.9%,41.2%,58.8%,2,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1544,13,579,1086,-313,-21,13,23,35,-24,-55,666,613,365,-92,0,1,0,0,0,0,1,0,0,0,0,1360,10455,9752,658,0,1360,10455,9752,658,5904,21357,2373,2880,1127,0,0,0,0,274,30709,31029,9603,18935,8178,0,0,0,0,3561,21,23,7,11,10,281,602,218,191,172,22777,29013,8761,14049,8770,105,0,0,39,50,4,9,5,6,15,23,26,21,30,27,,,,,,,,,,
T1,44352,WIN,Zeus,Oner,Faker,Gumayusi,Keria,TOP,JUNGLE,MID,ADC,SUPPORT,15,14,14,15,11,3,3,0,11,1,1,0,1,0,1,9,9,9,4,9,12,Perfect KDA,9,Perfect KDA,10,218,161,200,279,28,17,125,0,28,0,,,,,,8.7,6.4,8,11.2,1.1,11635,10903,9012,15291,6928,465,436,360,612,277,21.6%,20.3%,16.8%,28.4%,12.9%,30,33,32,39,61,9,7,7,13,47,2,7,9,12,5,4,9,5,6,17,4,5,5,6,17,1.2,1.32,1.28,1.56,2.44,0.36,0.28,0.28,0.52,1.88,0.16,0.36,0.2,0.24,0.68,0.08,0.28,0.36,0.48,0.2,15.4%,16.9%,16.4%,20%,31.3%,16861,6440,6968,17599,4603,16861,5739,243,11983,271,0,536,6541,3876,3532,0,165,184,1740,800,674,258,279,704,184,32.1%,12.3%,13.3%,33.5%,8.8%,0.48,0.48,0.36,0.6,0.4,66.7%,66.7%,50%,83.3%,55.6%,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1190,805,-443,1467,585,38,19,-22,21,4,1022,1205,-1239,624,416,1,1,-1,0,1,0,0,0,0,0,3064,3810,2820,9873,560,3064,3810,2820,9873,560,8085,10444,2137,993,5007,0,0,0,0,2806,15441,17309,8863,4929,9055,0,0,0,0,0,20,8,19,2,28,202,179,163,19,90,16981,16301,12443,6887,7795,35,0,38,0,34,5,5,5,7,19,23,19,19,24,29,,,,,,,,,,
DRX,44354,WIN,kingen,Pyosik,Zeka,Deft,BeryL,TOP,JUNGLE,MID,ADC,SUPPORT,17,15,17,15,13,2,6,4,2,1,0,0,1,1,0,5,8,3,8,13,Perfect KDA,Perfect KDA,7,10,Perfect KDA,282,214,302,297,32,40,153,15,26,4,,,,,,9.4,7.1,10,9.9,1.1,12639,13906,14178,13589,7787,420,462,471,452,259,20.4%,22.4%,22.8%,21.9%,12.5%,28,114,25,55,79,10,43,7,17,56,7,30,8,11,5,7,10,5,6,18,6,7,5,6,17,0.93,3.79,0.83,1.83,2.63,0.33,1.43,0.23,0.57,1.86,0.23,0.33,0.17,0.2,0.6,0.23,1,0.27,0.37,0.17,9.3%,37.9%,8.3%,18.3%,26.2%,11269,8704,8112,16873,5319,9696,7040,0,15372,521,1573,1151,7859,1369,4798,0,513,253,132,0,375,289,270,561,177,22.4%,17.3%,16.1%,33.6%,10.6%,0.23,0.47,0.23,0.33,0.47,46.7%,93.3%,46.7%,66.7%,93.3%,,,,,,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1313,1315,-15,681,647,35,18,-28,5,-2,794,1558,-930,693,379,1,2,-1,1,1,0,0,0,0,0,6540,2594,6753,7620,315,6540,2594,6753,7620,315,4626,10009,3107,1980,1065,0,0,0,373,512,15827,10897,12496,6066,8633,0,0,0,0,653,15,17,10,14,24,373,558,424,84,129,17242,15946,18625,10117,8016,0,0,0,16,0,10,10,6,7,20,25,30,25,25,34,,,,,,,,,,
DWG KIA,44357,WIN,Nuguri,Canyon,ShowMaker,deokdam,Kellin,TOP,JUNGLE,MID,ADC,SUPPORT,15,13,16,14,11,6,1,2,2,1,2,2,1,2,1,2,10,3,8,9,4,5.5,5,5,10,247,155,273,235,18,25,148,12,20,0,,,,,,8.4,5.3,9.3,8,0.6,12570,9252,11789,11678,6937,427,314,400,396,235,24.1%,17.7%,22.6%,22.4%,13.3%,31,30,34,29,105,10,15,17,13,61,6,2,6,7,14,7,7,7,4,14,6,6,7,4,14,1.05,1.02,1.15,0.98,3.56,0.34,0.51,0.58,0.44,2.07,0.24,0.24,0.24,0.14,0.48,0.2,0.07,0.2,0.24,0.48,13.5%,13.1%,14.8%,12.7%,45.9%,22013,8272,15768,20352,5238,19889,6523,19,15792,1038,1790,1396,15528,1195,3711,334,353,221,3365,489,747,281,535,691,178,30.7%,11.5%,22%,28.4%,7.3%,0.27,0.37,0.17,0.34,0.34,66.7%,91.7%,41.7%,83.3%,83.3%,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,-1196,84,501,1167,-4,-34,22,6,-9,-406,-1453,794,-128,-6,-1,-2,1,0,0,0,0,0,0,0,4687,1544,5124,7493,908,4687,1544,5124,7493,908,2554,12433,1592,1891,1051,0,0,0,838,0,9044,28071,7973,15017,6929,0,842,0,0,3284,6,14,10,14,22,177,487,187,180,169,11077,26734,11085,11671,9206,51,37,30,21,14,8,7,10,5,16,28,23,26,20,29,,,,,,,,,,
