Region,Team,Game ID,Win/Lose,Player_4,GD@15_4,XPD@15_4,LVLD@15_4,CSD@15_4
0,JD Gaming,44340,WIN,Hope,-1579,-521,0,-9
0,Edward Gaming,44341,LOSS,Viper,-829,-852,-1,-15
0,Royal Never Give Up,44342,WIN,GALA,2140,415,1,54
0,Edward Gaming,44346,WIN,Viper,44,20,0,5
0,Top Esports,44347,WIN,JackeyLove,2969,1550,1,50
0,JD Gaming,44348,WIN,Hope,-312,-445,0,-1
0,Edward Gaming,44351,WIN,Viper,1507,-306,0,4
0,Royal Never Give Up,44353,WIN,GALA,243,126,0,9
0,Top Esports,44354,LOSS,JackeyLove,-681,-693,-1,-5
0,JD Gaming,44355,WIN,Hope,1726,19,0,21
0,Top Esports,44356,LOSS,JackeyLove,599,-150,0,10
0,Royal Never Give Up,44358,WIN,GALA,0,486,0,10
0,Edward Gaming,44363,WIN,Viper,915,106,0,5
0,Edward Gaming,44364,WIN,Viper,716,-93,0,-16
0,Edward Gaming,44366,LOSS,Viper,30,-386,0,-19
0,JD Gaming,44368,WIN,Hope,2108,1497,2,33
0,JD Gaming,44370,WIN,Hope,-1626,-36,0,-3
0,JD Gaming,44372,LOSS,Hope,-489,-410,-1,14
0,Top Esports,44374,LOSS,JackeyLove,349,72,0,11
0,Top Esports,44377,WIN,JackeyLove,3114,1112,1,30
0,Top Esports,44378,WIN,JackeyLove,-823,-568,0,-30
0,Royal Never Give Up,44381,WIN,GALA,238,-168,0,5
0,Royal Never Give Up,44383,WIN,GALA,1106,1254,1,4
0,Royal Never Give Up,44384,LOSS,GALA,-1039,-495,-1,-4
0,JD Gaming,44385,WIN,Hope,-3939,-1982,-2,-35
0,Royal Never Give Up,44387,LOSS,GALA,-304,-274,0,-11
0,JD Gaming,44388,WIN,Hope,189,42,0,11
0,Royal Never Give Up,44393,LOSS,GALA,89,-31,0,8
0,Edward Gaming,44403,WIN,Viper,-760,-673,0,-26
0,JD Gaming,44408,WIN,Hope,-631,-259,-1,-11
4,Fnatic,44337,WIN,Upset,-1092,-1077,-2,-5
4,G2 Esports,44338,LOSS,Flakked,-108,-21,0,-8
4,Rogue,44343,WIN,Comp,-357,63,0,-17
4,G2 Esports,44344,WIN,Flakked,54,5,0,-2
4,Fnatic,44345,WIN,Upset,589,1011,1,-20
4,Rogue,44349,WIN,Comp,464,-29,0,-26
4,Fnatic,44351,LOSS,Upset,-514,-519,0,8
4,G2 Esports,44355,LOSS,Flakked,-1383,-1323,-1,9
4,Rogue,44356,WIN,Comp,-373,-543,-1,-2
4,Fnatic,44361,LOSS,Upset,-393,513,1,0
4,Fnatic,44362,LOSS,Upset,-630,-1215,-1,2
4,Fnatic,44364,LOSS,Upset,-890,-730,-1,-3
4,G2 Esports,44367,LOSS,Flakked,-441,-1047,-1,18
4,G2 Esports,44369,LOSS,Flakked,-588,-199,0,10
4,G2 Esports,44370,LOSS,Flakked,398,788,1,1
4,Rogue,44373,WIN,Comp,-423,-117,0,-18
4,Rogue,44375,LOSS,Comp,-1443,-1264,-1,-2
4,Rogue,44377,LOSS,Comp,-747,19,0,-4
4,Rogue,44386,LOSS,Comp,-868,-242,-1,5
4,Rogue,44388,LOSS,Comp,-172,-416,-1,2
1,DWG KIA,44338,WIN,deokdam,0,-13,0,214
1,T1,44341,WIN,Gumayusi,829,15,1,852
1,Gen.G eSports,44342,LOSS,Lehends,-2140,-54,-1,-415
1,DRX,44343,LOSS,Deft,-258,9,0,180
1,T1,44345,LOSS,Gumayusi,-1898,-6,0,-249
1,DWG KIA,44348,LOSS,deokdam,312,1,0,445
1,Gen.G eSports,44350,WIN,Ruler,1086,35,0,365
1,T1,44352,WIN,Gumayusi,1467,21,0,624
1,DRX,44354,WIN,Deft,681,5,1,693
1,DWG KIA,44357,WIN,deokdam,501,6,0,-128
1,Gen.G eSports,44359,WIN,Ruler,701,1,-1,-441
1,DRX,44360,WIN,Deft,1441,35,1,1062
1,T1,44362,WIN,Gumayusi,1176,0,-1,-726
1,T1,44365,WIN,Gumayusi,3894,61,1,635
1,T1,44366,WIN,Gumayusi,-30,19,0,386
1,DWG KIA,44369,WIN,deokdam,1278,25,1,529
1,DWG KIA,44371,WIN,deokdam,-441,-22,0,198
1,DWG KIA,44372,WIN,deokdam,489,-14,1,410
1,DRX,44375,WIN,Deft,700,24,1,835
1,DRX,44376,WIN,Deft,279,1,0,446
1,DRX,44378,LOSS,Deft,823,30,0,568
1,Gen.G eSports,44380,WIN,Ruler,1647,23,1,897
1,Gen.G eSports,44382,WIN,Ruler,3540,52,2,1908
1,Gen.G eSports,44384,WIN,Ruler,1039,4,1,495
1,DWG KIA,44385,LOSS,deokdam,3939,35,2,1982
1,DRX,44386,WIN,Deft,1239,20,1,234
1,Gen.G eSports,44387,WIN,Ruler,304,11,0,274
1,T1,44393,WIN,Gumayusi,-89,-8,0,31
1,Gen.G eSports,44398,WIN,Ruler,1136,30,1,506
1,DWG KIA,44398,LOSS,deokdam,-1136,-30,-1,-506
1,DRX,44403,LOSS,Deft,760,26,0,673
1,T1,44408,LOSS,Gumayusi,631,11,1,259
1,Gen.G eSports,44413,WIN,Ruler,500,-18,-1,-1017
1,DRX,44413,LOSS,Deft,-500,18,1,1017
2,Cloud9,44337,LOSS,Berserker,629,-422,0,-10
2,100 Thieves,44339,LOSS,FBI,-1551,-622,-1,-24
2,Evil Geniuses,44340,LOSS,Kaori,1579,521,0,9
2,Evil Geniuses,44344,LOSS,Kaori,-950,-638,0,8
2,Cloud9,44346,LOSS,Berserker,-44,-20,0,-5
2,100 Thieves,44350,LOSS,FBI,-1086,-365,0,-35
2,Cloud9,44352,LOSS,Berserker,-1467,-624,0,-21
2,Evil Geniuses,44357,LOSS,Kaori,-501,128,0,-6
2,100 Thieves,44358,LOSS,FBI,0,-486,0,-10
2,Cloud9,44361,WIN,Berserker,1234,802,1,1
2,Cloud9,44363,LOSS,Berserker,-915,-106,0,-5
2,Cloud9,44365,LOSS,Berserker,-3894,-635,-1,-61
2,Evil Geniuses,44367,WIN,Kaori,2028,1131,1,18
2,Evil Geniuses,44368,LOSS,Kaori,-2108,-1497,-2,-33
2,Evil Geniuses,44371,LOSS,Kaori,441,-198,0,22
2,100 Thieves,44379,WIN,FBI,-6,1,0,-11
2,100 Thieves,44381,LOSS,Huhi,-238,168,0,-5
2,100 Thieves,44382,LOSS,FBI,-3540,-1908,-2,-52
3,CTBC Flying Oyster,44339,WIN,Shunn,1551,622,1,24
3,CTBC Flying Oyster,44353,LOSS,Shunn,-243,-126,0,-9
3,CTBC Flying Oyster,44359,LOSS,Shunn,-701,441,1,-1
3,CTBC Flying Oyster,44379,LOSS,Shunn,6,-1,0,11
3,CTBC Flying Oyster,44380,LOSS,Shunn,-1647,-897,-1,-23
3,CTBC Flying Oyster,44383,LOSS,Atlen,-1106,-1254,-1,-4
5,GAM Esports,44347,LOSS,Sty1e,-2969,-1550,-1,-50
5,GAM Esports,44349,LOSS,Sty1e,-2013,-633,-1,-47
5,GAM Esports,44360,LOSS,Sty1e,-1441,-1062,-1,-35
5,GAM Esports,44373,LOSS,Sty1e,-215,405,0,-4
5,GAM Esports,44374,WIN,Sty1e,-349,-72,0,-11
5,GAM Esports,44376,LOSS,Sty1e,-279,-446,0,-1
