Region,Team,Game ID,Win/Lose,Player_2,GD@15_2,XPD@15_2,LVLD@15_2,CSD@15_2
0,JD Gaming,44340,WIN,Kanavi,2311,907,1,2
0,Edward Gaming,44341,LOSS,Jiejie,11,-167,-1,-4
0,Royal Never Give Up,44342,WIN,Wei,995,97,0,-12
0,Edward Gaming,44346,WIN,Jiejie,-208,-944,-1,-28
0,Top Esports,44347,WIN,Tian,68,-643,-1,-22
0,JD Gaming,44348,WIN,Kanavi,606,863,1,8
0,Edward Gaming,44351,WIN,Jiejie,216,-86,0,-10
0,Royal Never Give Up,44353,WIN,Wei,998,1035,1,4
0,Top Esports,44354,LOSS,Tian,-1315,-1558,-2,-18
0,JD Gaming,44355,WIN,Kanavi,-856,-288,-1,-4
0,Top Esports,44356,LOSS,Tian,-1049,-149,-1,5
0,Royal Never Give Up,44358,WIN,Wei,-729,293,0,3
0,Edward Gaming,44363,WIN,Jiejie,878,333,0,15
0,Edward Gaming,44364,WIN,Jiejie,1577,987,1,19
0,Edward Gaming,44366,LOSS,Jiejie,1596,690,1,14
0,JD Gaming,44368,WIN,Kanavi,-416,-98,-1,12
0,JD Gaming,44370,WIN,Kanavi,-133,-207,-1,11
0,JD Gaming,44372,LOSS,Kanavi,-2226,-1430,-1,-42
0,Top Esports,44374,LOSS,Tian,145,1114,1,23
0,Top Esports,44377,WIN,Tian,427,700,1,22
0,Top Esports,44378,WIN,Tian,-76,42,0,-3
0,Royal Never Give Up,44381,WIN,Wei,96,495,0,1
0,Royal Never Give Up,44383,WIN,Wei,869,302,1,-11
0,Royal Never Give Up,44384,LOSS,Wei,-516,-479,-1,-22
0,JD Gaming,44385,WIN,Kanavi,634,818,1,9
0,Royal Never Give Up,44387,LOSS,Wei,-711,-372,0,0
0,JD Gaming,44388,WIN,Kanavi,1738,1479,1,42
0,Royal Never Give Up,44393,LOSS,Wei,-998,-1106,-1,-27
0,Edward Gaming,44403,WIN,Jiejie,141,-21,0,-9
0,JD Gaming,44408,WIN,Kanavi,396,160,0,9
4,Fnatic,44337,WIN,Razork,-137,104,0,13
4,G2 Esports,44338,LOSS,Jankos,-1457,-320,0,-8
4,Rogue,44343,WIN,Malrang,-596,-271,0,-13
4,G2 Esports,44344,WIN,Jankos,-26,-311,0,-11
4,Fnatic,44345,WIN,Razork,123,303,1,7
4,Rogue,44349,WIN,Malrang,235,-110,-1,-31
4,Fnatic,44351,LOSS,Razork,-216,86,0,10
4,G2 Esports,44355,LOSS,Jankos,856,288,1,4
