Region,Team,Game ID,Win/Lose,Player_1,GD@15_1,XPD@15_1,LVLD@15_1,CSD@15_1
0,JD Gaming,44340,WIN,369,1521,1149,1,9
0,Edward Gaming,44341,LOSS,Flandre,-1722,152,0,-35
0,Royal Never Give Up,44342,WIN,Breathe,-195,-16,0,-24
0,Edward Gaming,44346,WIN,Flandre,87,221,0,2
0,Top Esports,44347,WIN,Wayward,-112,-871,-1,-6
0,JD Gaming,44348,WIN,369,-244,440,0,3
0,Edward Gaming,44351,WIN,Flandre,407,-62,0,3
0,Royal Never Give Up,44353,WIN,Breathe,617,378,1,7
0,Top Esports,44354,LOSS,Wayward,-1313,-794,-1,-35
0,JD Gaming,44355,WIN,369,-314,566,0,23
0,Top Esports,44356,LOSS,Wayward,33,298,0,12
0,Royal Never Give Up,44358,WIN,Breathe,-667,-485,0,-24
0,Edward Gaming,44363,WIN,Flandre,1278,-29,0,9
0,Edward Gaming,44364,WIN,Flandre,-236,-561,0,-6
0,Edward Gaming,44366,LOSS,Flandre,-2077,-1889,-1,-39
0,JD Gaming,44368,WIN,369,1791,823,1,44
0,JD Gaming,44370,WIN,369,1215,1275,1,29
0,JD Gaming,44372,LOSS,369,1022,332,1,9
0,Top Esports,44374,LOSS,Wayward,496,421,1,9
0,Top Esports,44377,WIN,Wayward,-37,-892,-1,4
0,Top Esports,44378,WIN,Wayward,651,1215,1,28
0,Royal Never Give Up,44381,WIN,Breathe,-349,-329,-1,3
0,Royal Never Give Up,44383,WIN,Breathe,-46,-345,-1,-13
0,Royal Never Give Up,44384,LOSS,Breathe,1616,-17,0,-6
0,JD Gaming,44385,WIN,369,512,1335,1,13
0,Royal Never Give Up,44387,LOSS,Breathe,-549,-883,0,-9
0,JD Gaming,44388,WIN,369,-98,48,0,-9
0,Royal Never Give Up,44393,LOSS,Breathe,-1237,-553,-1,9
0,Edward Gaming,44403,WIN,Flandre,1175,441,0,35
0,JD Gaming,44408,WIN,369,561,-413,-1,10
4,Fnatic,44337,WIN,Wunder,-215,-215,0,-1
4,G2 Esports,44338,LOSS,Brokenblade,-780,-672,-1,-12
4,Rogue,44343,WIN,Odoamne,52,468,1,5
4,G2 Esports,44344,WIN,Brokenblade,338,-249,0,10
4,Fnatic,44345,WIN,Wunder,-355,-57,0,5
4,Rogue,44349,WIN,Odoamne,-864,-742,-1,-12
4,Fnatic,44351,LOSS,Wunder,-407,62,0,-3
4,G2 Esports,44355,LOSS,Brokenblade,314,-566,0,-23
